,,,,,,,,
Date,XOM ,CVX,KMI ,WMB,LNG,SP500 ,,
2019-01-02,-1.54%,-1.92%,-0.57%,0.85%,0.12%,-2.48%,,
2019-01-03,3.69%,2.07%,3.37%,4.16%,2.46%,3.43%,,
2019-01-04,0.52%,1.30%,2.16%,2.55%,1.28%,0.70%,,
2019-01-07,0.73%,-0.44%,3.32%,2.98%,2.93%,0.97%,,
2019-01-08,0.53%,1.34%,0.70%,1.13%,1.09%,0.41%,,
2019-01-09,-0.51%,0.16%,0.58%,0.00%,0.98%,0.45%,,
2019-01-10,-0.46%,-0.80%,-1.44%,-0.44%,-1.84%,-0.01%,,
2019-01-11,-0.13%,-0.73%,0.70%,1.08%,0.00%,-0.53%,,
2019-01-14,0.06%,0.36%,0.52%,0.55%,0.60%,1.07%,,
2019-01-15,-0.04%,-0.64%,0.87%,1.61%,-1.77%,0.22%,,
2019-01-16,0.68%,0.50%,1.43%,1.16%,0.44%,0.76%,,
2019-01-17,1.19%,2.15%,1.64%,0.92%,1.22%,1.32%,,
2019-01-18,-1.51%,-1.77%,-2.11%,-0.91%,-2.75%,-1.42%,,
2019-01-22,-0.82%,-0.85%,-2.21%,-1.30%,-0.46%,0.22%,,
2019-01-23,0.14%,1.90%,1.39%,2.63%,0.78%,0.14%,,
2019-01-24,0.45%,-0.26%,1.49%,0.64%,0.52%,0.85%,,
2019-01-25,-0.67%,-0.93%,0.85%,-0.34%,2.69%,-0.78%,,
2019-01-28,0.38%,-0.30%,0.89%,0.38%,0.21%,-0.15%,,
2019-01-29,1.09%,1.06%,1.34%,1.27%,1.15%,1.55%,,
2019-01-30,1.37%,1.45%,0.06%,-0.33%,-0.76%,0.86%,,
2019-01-31,3.60%,3.24%,1.38%,1.86%,2.01%,0.09%,,
2019-02-01,-1.45%,1.16%,0.05%,-0.22%,0.61%,0.68%,,
2019-02-04,1.03%,-0.22%,0.60%,-0.07%,-0.10%,0.47%,,
2019-02-05,-0.44%,-0.50%,-2.22%,-1.06%,-2.08%,-0.22%,,
2019-02-06,-0.77%,-0.55%,-0.55%,-1.40%,-0.18%,-0.94%,,
2019-02-07,0.16%,-0.55%,0.33%,0.75%,-0.30%,0.07%,,
2019-02-08,0.16%,-0.54%,1.39%,-0.60%,-0.38%,0.07%,,
2019-02-11,1.75%,1.51%,1.15%,0.04%,0.73%,1.29%,,
2019-02-12,1.13%,0.72%,1.41%,1.12%,0.05%,0.30%,,
2019-02-13,0.03%,-0.19%,0.75%,-0.63%,0.23%,-0.27%,,
