XOM ,CVX,KMI ,WMB,LNG,SP500 ,Date
-0.0154,-0.0192,-0.0057,0.0085,0.0012,-0.0248,1/2/19
0.0369,0.0207,0.0337,0.0416,0.0246,0.0343,1/3/19
0.0052,0.013,0.0216,0.0255,0.0128,0.007,1/4/19
0.0073,-0.0044,0.0332,0.0298,0.0293,0.0097,1/7/19
0.0053,0.0134,0.007,0.0113,0.0109,0.0041,1/8/19
-0.0051,0.0016,0.0058,0,0.0098,0.0045,1/9/19
-0.0046,-0.008,-0.0144,-0.0044,-0.0184,-0.0001,1/10/19
-0.0013,-0.0073,0.007,0.0108,0,-0.0053,1/11/19
0.0006,0.0036,0.0052,0.0055,0.006,0.0107,1/14/19
-0.0004,-0.0064,0.0087,0.0161,-0.0177,0.0022,1/15/19
0.0068,0.005,0.0143,0.0116,0.0044,0.0076,1/16/19
0.0119,0.0215,0.0164,0.0092,0.0122,0.0132,1/17/19
-0.0151,-0.0177,-0.0211,-0.0091,-0.0275,-0.0142,1/18/19
-0.0082,-0.0085,-0.0221,-0.013,-0.0046,0.0022,1/22/19
0.0014,0.019,0.0139,0.0263,0.0078,0.0014,1/23/19
0.0045,-0.0026,0.0149,0.0064,0.0052,0.0085,1/24/19
-0.0067,-0.0093,0.0085,-0.0034,0.0269,-0.0078,1/25/19
0.0038,-0.003,0.0089,0.0038,0.0021,-0.0015,1/28/19
0.0109,0.0106,0.0134,0.0127,0.0115,0.0155,1/29/19
0.0137,0.0145,0.0006,-0.0033,-0.0076,0.0086,1/30/19
0.036,0.0324,0.0138,0.0186,0.0201,0.0009,1/31/19
-0.0145,0.0116,0.0005,-0.0022,0.0061,0.0068,2/1/19
0.0103,-0.0022,0.006,-0.0007,-0.001,0.0047,2/4/19
-0.0044,-0.005,-0.0222,-0.0106,-0.0208,-0.0022,2/5/19
-0.0077,-0.0055,-0.0055,-0.014,-0.0018,-0.0094,2/6/19
0.0016,-0.0055,0.0033,0.0075,-0.003,0.0007,2/7/19
0.0016,-0.0054,0.0139,-0.006,-0.0038,0.0007,2/8/19
0.0175,0.0151,0.0115,0.0004,0.0073,0.0129,2/11/19
0.0113,0.0072,0.0141,0.0112,0.0005,0.003,2/12/19
0.0003,-0.0019,0.0075,-0.0063,0.0023,-0.0027,2/13/19
0.0189,0.0101,-0.0042,0.0153,0.0033,0.0109,2/14/19
0.0067,-0.0003,0.0186,0.0055,0.0104,0.0015,2/15/19
0.0038,0.0081,0.001,-0.0026,-0.0142,0.0018,2/19/19
-0.009,-0.0095,0.001,-0.0106,-0.0091,-0.0035,2/20/19
0.0077,0.0021,0.0068,0.0018,-0.0024,0.0064,2/21/19
0.001,0.0019,-0.001,0.0089,-0.0087,0.0012,2/22/19
0.002,0.0027,-0.0041,-0.0139,-0.017,-0.0008,2/25/19
0.0103,0.0012,0.0031,0.0044,0.0316,-0.0005,2/26/19
-0.0055,-0.0042,-0.0062,-0.0148,-0.0166,-0.0028,2/27/19
0.0123,0.0205,0.0303,0.0277,-0.007,0.0069,2/28/19
0.0039,0.0007,0.0056,-0.0011,0.0156,-0.0039,3/1/19
-0.0015,0.0096,0.006,0.0015,0.0235,-0.0011,3/4/19
-0.0113,0.0019,0.0015,-0.0033,-0.0146,-0.0065,3/5/19
0.0111,-0.0129,-0.008,-0.0011,0.0183,-0.0081,3/6/19
-0.0143,-0.0026,-0.0055,-0.0004,-0.007,-0.0021,3/7/19
0.0097,0.0164,0.0086,0.016,0.0258,0.0147,3/8/19
0.0028,0.0023,-0.002,0.0062,0.0234,0.003,3/11/19
0.0089,0.0062,0.006,0.0062,-0.004,0.0069,3/12/19
-0.0033,-0.0006,0,0.0011,-0.0017,-0.0009,3/13/19
-0.0036,0.0057,-0.0055,-0.0061,-0.0043,0.005,3/14/19
0.0116,0.0045,0.006,0.0083,0.0118,0.0037,3/15/19
-0.0026,-0.0048,0.003,0.0122,-0.0122,-0.0001,3/18/19
0.0056,-0.0047,0.002,0.0078,-0.0068,-0.0029,3/19/19
0.0058,0.0094,0.0164,0.0205,0.0133,0.0109,3/20/19
-0.016,-0.022,-0.0255,-0.0159,-0.0244,-0.019,3/21/19
-0.007,-0.0016,0.0116,0.0081,-0.0074,-0.0008,3/22/19
0.013,0.0101,-0.002,-0.0031,0.0025,0.0072,3/25/19
-0.0077,-0.0108,-0.0055,-0.0042,-0.0132,-0.0046,3/26/19
0.005,0.0019,-0.0015,0.006,-0.002,0.0036,3/27/19
0.0007,0.0013,0.003,0.0021,0.0318,0.0067,3/28/19
0.0115,0.0143,0.0015,0.0192,-0.0059,0.0116,3/29/19
-0.0043,-0.0001,0.0005,0.0027,-0.0063,0,4/1/19
-0.0059,-0.0083,-0.008,-0.015,-0.0092,0.0021,4/2/19
0.0142,0.0073,0.0015,-0.0031,0.0093,0.0021,4/3/19
0.0054,0.013,0.0065,0.0101,0.0006,0.0046,4/4/19
0.0062,0.0021,-0.0055,-0.0038,0.0064,0.001,4/5/19
-0.0129,-0.009,-0.0025,-0.01,-0.0121,-0.0061,4/8/19
-0.0045,-0.0004,-0.0025,-0.0017,-0.0019,0.0035,4/9/19
